!Agilent Technologies,E4990A,MY54100995,A.02.20
!Date: Thu Mar 12 12:33:36 2026

BEGIN CH1_DATA
DCV(V), +9.994e-001, DCI(A), +2.454e-006
DC Bias(V), Cp(F)-data, D()-data, |Z|(Ohm)-data, theta-z(deg)-data
-1.00000000000e+000, +7.44657166766e-012, +6.94241902133e-002, +2.13215946969e+006, -8.60286589732e+001
-9.79797979798e-001, +7.51055156766e-012, +6.09129472267e-002, +2.11516421340e+006, -8.65142521069e+001
-9.59595959596e-001, +7.60547905165e-012, +6.59659657935e-002, +2.08809709438e+006, -8.62258965784e+001
-9.39393939394e-001, +7.69814680907e-012, +6.50289837692e-002, +2.06308733573e+006, -8.62793523690e+001
-9.19191919192e-001, +7.72583308712e-012, +6.50874781714e-002, +2.05568627055e+006, -8.62760150122e+001
-8.98989898990e-001, +7.79405962460e-012, +5.61015687083e-002, +2.03879723022e+006, -8.67889828364e+001
-8.78787878788e-001, +7.96505726781e-012, +6.54311404886e-002, +1.99390083467e+006, -8.62564081135e+001
-8.58585858586e-001, +7.97846677246e-012, +5.66006607639e-002, +1.99161845728e+006, -8.67604774858e+001
-8.38383838384e-001, +8.03681132900e-012, +7.11138175806e-002, +1.97533598067e+006, -8.59323261444e+001
-8.18181818182e-001, +8.16823952188e-012, +6.72657550606e-002, +1.94406759519e+006, -8.61517531736e+001
-7.97979797980e-001, +8.20644087483e-012, +7.60483287504e-002, +1.93380672490e+006, -8.56511225241e+001
-7.77777777778e-001, +8.44105983108e-012, +6.02667909880e-002, +1.88207048653e+006, -8.65511387154e+001
-7.57575757576e-001, +8.57908820329e-012, +7.06147443007e-002, +1.85054179106e+006, -8.59607780581e+001
-7.37373737374e-001, +8.68757388036e-012, +6.23912113150e-002, +1.82842849367e+006, -8.64298745461e+001
-7.17171717172e-001, +8.73082552699e-012, +5.85287578378e-002, +1.81979400642e+006, -8.66503705555e+001
-6.96969696970e-001, +8.88014159316e-012, +7.14557128609e-002, +1.78769870595e+006, -8.59128360273e+001
-6.76767676768e-001, +9.01959900867e-012, +6.89142534744e-002, +1.76037046082e+006, -8.60577370748e+001
-6.56565656566e-001, +9.15131456785e-012, +6.46740358775e-002, +1.73552259960e+006, -8.62996042114e+001
-6.36363636364e-001, +9.24582574567e-012, +7.22208970379e-002, +1.71689905621e+006, -8.58692193002e+001
-6.16161616162e-001, +9.45896743758e-012, +7.19927707432e-002, +1.67823912855e+006, -8.58822223660e+001
-5.95959595960e-001, +9.72103543073e-012, +7.68070302152e-002, +1.63241414141e+006, -8.56079045785e+001
-5.75757575758e-001, +9.89775897653e-012, +8.21116341574e-002, +1.60259614955e+006, -8.53058807647e+001
-5.55555555556e-001, +1.00437059382e-011, +8.63699629121e-002, +1.57874608373e+006, -8.50636160892e+001
-5.35353535354e-001, +1.02204630617e-011, +8.35151284273e-002, +1.55181613302e+006, -8.52260142085e+001
-5.15151515152e-001, +1.04780669833e-011, +8.33459778508e-002, +1.51368585170e+006, -8.52356388289e+001
-4.94949494949e-001, +1.08650529725e-011, +8.30363744751e-002, +1.45980949111e+006, -8.52532558720e+001
-4.74747474747e-001, +1.12025077749e-011, +8.47641068285e-002, +1.41563164733e+006, -8.51549560807e+001
-4.54545454545e-001, +1.14576171441e-011, +8.63502719368e-002, +1.38392546907e+006, -8.50647359470e+001
-4.34343434343e-001, +1.18511107263e-011, +1.02881437938e-001, +1.33590243050e+006, -8.41259942894e+001
