»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.51.0
»»»  Vision Version:	5.51.3 (R)
»»»  Vision Compiled:	8/27/25
»»»  Driver Version:	5.51.0
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF20724-485 (500V)
»»»  Tester S/N:	PMF20724-485
»»»  Internal Amp Type:	500V Rev D Slow
»»»  Internal Amp S/N:	  iAB5-000/D   
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	3/12/2026 - 12:39:36
Configured:	03/09/26 06:20:57 PM
Executed:	03/12/26 12:29:29 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	3.14e-06
Sample Thickness (microns):	8.00e-02

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF20724-485 (500V)
Tester Serial Number:	PMF20724-485
Return Signal Amp. Level:	20.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hysteresis-1493
Volts:	0.60
Field:	75.00 (kV/cm)
DCBias:	0.40
DCField:	50.00 (kV/cm)
Hysteresis Period (ms):	2.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.3976	-8.307400	0.000031	9.853923	0.890293	0.000741
   2	5.0000e-04	0.4061	-8.189471	0.000031	9.853923	0.890293	0.000741
   3	1.0000e-03	0.4195	-8.132294	0.000015	4.777660	0.431657	0.000359
   4	1.5000e-03	0.4308	-7.959571	0.000045	14.432513	1.303965	0.001085
   5	2.0000e-03	0.4445	-7.667728	0.000077	24.385971	2.203251	0.001834
   6	2.5000e-03	0.4574	-7.472371	0.000051	16.323670	1.474829	0.001227
   7	3.0000e-03	0.4684	-7.173381	0.000078	24.983178	2.257208	0.001879
   8	3.5000e-03	0.4823	-6.906553	0.000070	22.295745	2.014401	0.001676
   9	4.0000e-03	0.4962	-6.478914	0.000112	35.732912	3.228437	0.002687
  10	4.5000e-03	0.5044	-6.095349	0.000101	32.050133	2.895701	0.002410
  11	5.0000e-03	0.5181	-5.535487	0.000147	46.781250	4.226644	0.003518
  12	5.5000e-03	0.5299	-4.910109	0.000164	52.255651	4.721252	0.003929
  13	6.0000e-03	0.5377	-4.197774	0.000187	59.521675	5.377731	0.004476
  14	6.5000e-03	0.5558	-3.385379	0.000213	67.882579	6.133131	0.005104
  15	7.0000e-03	0.5686	-2.588469	0.000209	66.588630	6.016224	0.005007
  16	7.5000e-03	0.5751	-1.499716	0.000286	90.974600	8.219474	0.006841
  17	8.0000e-03	0.5886	-0.663496	0.000220	69.873271	6.312988	0.005254
  18	8.5000e-03	0.6020	0.424066	0.000285	90.875066	8.210482	0.006833
  19	9.0000e-03	0.6130	1.608114	0.000311	98.937366	8.938903	0.007439
  20	9.5000e-03	0.6257	2.673043	0.000280	88.983909	8.039617	0.006691
  21	1.0000e-02	0.6357	3.889254	0.000319	101.624800	9.181710	0.007641
  22	1.0500e-02	0.6496	5.025655	0.000298	94.955983	8.579189	0.007140
  23	1.1000e-02	0.6620	6.189454	0.000305	97.245279	8.786025	0.007312
  24	1.1500e-02	0.6707	7.404473	0.000319	101.525265	9.172718	0.007634
  25	1.2000e-02	0.6846	8.556360	0.000302	96.249933	8.696096	0.007237
  26	1.2500e-02	0.6945	9.689187	0.000297	94.657380	8.552210	0.007118
  27	1.3000e-02	0.7069	10.851794	0.000305	97.145744	8.777032	0.007305
  28	1.3500e-02	0.7176	11.938165	0.000285	90.775531	8.201489	0.006826
  29	1.4000e-02	0.7346	12.898269	0.000252	80.224866	7.248245	0.006032
  30	1.4500e-02	0.7423	14.050155	0.000302	96.249933	8.696096	0.007237
  31	1.5000e-02	0.7545	14.762490	0.000187	59.521675	5.377731	0.004476
  32	1.5500e-02	0.7694	15.789301	0.000270	85.798803	7.751846	0.006451
  33	1.6000e-02	0.7810	16.574299	0.000206	65.593284	5.926295	0.004932
  34	1.6500e-02	0.7916	17.060307	0.000128	40.610106	3.669087	0.003054
  35	1.7000e-02	0.8109	17.870320	0.000213	67.683510	6.115145	0.005089
  36	1.7500e-02	0.8183	18.384917	0.000135	42.998936	3.884916	0.003233
  37	1.8000e-02	0.8261	18.950735	0.000149	47.278923	4.271609	0.003555
  38	1.8500e-02	0.8414	19.431978	0.000126	40.211968	3.633116	0.003024
  39	1.9000e-02	0.8530	19.854852	0.000111	35.334774	3.192465	0.002657
  40	1.9500e-02	0.8632	20.250329	0.000104	33.045478	2.985630	0.002485
  41	2.0000e-02	0.8755	20.619600	0.000097	30.855718	2.787787	0.002320
  42	2.0500e-02	0.8875	20.950752	0.000087	27.670612	2.500015	0.002081
  43	2.1000e-02	0.9015	21.234257	0.000074	23.689229	2.140301	0.001781
  44	2.1500e-02	0.9123	21.697632	0.000122	38.718949	3.498223	0.002911
  45	2.2000e-02	0.9283	21.789354	0.000024	7.664162	0.692450	0.000576
  46	2.2500e-02	0.9364	22.101448	0.000082	26.078058	2.356129	0.001961
  47	2.3000e-02	0.9492	22.401629	0.000079	25.082713	2.266201	0.001886
  48	2.3500e-02	0.9588	22.463571	0.000016	5.175798	0.467629	0.000389
  49	2.4000e-02	0.9732	22.853092	0.000102	32.547806	2.940665	0.002447
  50	2.4500e-02	0.9840	22.947197	0.000025	7.863231	0.710436	0.000591
  51	2.5000e-02	0.9971	23.199730	0.000066	21.101330	1.906486	0.001587
  52	2.5500e-02	0.9834	23.291452	-0.000024	-7.664162	-0.692450	0.000576
  53	2.6000e-02	0.9755	23.206877	0.000022	7.066955	0.638493	-0.000531
  54	2.6500e-02	0.9622	23.155656	0.000013	4.279987	0.386693	-0.000322
  55	2.7000e-02	0.9517	23.071081	0.000022	7.066955	0.638493	-0.000531
  56	2.7500e-02	0.9384	22.997227	0.000019	6.171144	0.557557	-0.000464
  57	2.8000e-02	0.9261	22.899549	0.000026	8.161835	0.737415	-0.000614
  58	2.8500e-02	0.9146	22.816165	0.000022	6.967420	0.629500	-0.000524
  59	2.9000e-02	0.9052	22.667266	0.000039	12.441822	1.124108	-0.000936
  60	2.9500e-02	0.8909	22.574352	0.000024	7.763697	0.701443	-0.000584
  61	3.0000e-02	0.8772	22.546955	0.000007	2.289295	0.206836	-0.000172
  62	3.0500e-02	0.8704	22.326584	0.000058	18.413896	1.663679	-0.001385
  63	3.1000e-02	0.8522	22.365893	-0.000010	-3.284641	-0.296764	0.000247
  64	3.1500e-02	0.8414	22.139566	0.000059	18.911569	1.708643	-0.001422
  65	3.2000e-02	0.8293	22.064520	0.000020	6.270678	0.566550	-0.000472
  66	3.2500e-02	0.8208	21.933489	0.000034	10.948803	0.989215	-0.000823
  67	3.3000e-02	0.8056	21.766722	0.000044	13.934840	1.259000	-0.001048
  68	3.3500e-02	0.7957	21.691676	0.000020	6.270678	0.566550	-0.000472
  69	3.4000e-02	0.7810	21.534438	0.000041	13.138564	1.187058	-0.000988
  70	3.4500e-02	0.7681	21.402216	0.000035	11.048338	0.998208	-0.000831
  71	3.5000e-02	0.7551	21.262846	0.000037	11.645545	1.052165	-0.000876
  72	3.5500e-02	0.7476	21.052004	0.000055	17.617620	1.591736	-0.001325
  73	3.6000e-02	0.7353	20.926928	0.000033	10.451130	0.944250	-0.000786
  74	3.6500e-02	0.7231	20.642233	0.000075	23.788763	2.149294	-0.001789
  75	3.7000e-02	0.7112	20.661292	-0.000005	-1.592553	-0.143886	0.000120
  76	3.7500e-02	0.6963	20.330139	0.000087	27.670612	2.500015	-0.002081
  77	3.8000e-02	0.6875	20.246756	0.000022	6.967420	0.629500	-0.000524
  78	3.8500e-02	0.6767	20.007325	0.000063	20.006449	1.807565	-0.001504
  79	3.9000e-02	0.6631	19.760748	0.000065	20.603657	1.861522	-0.001549
  80	3.9500e-02	0.6512	19.621378	0.000037	11.645545	1.052165	-0.000876
  81	4.0000e-02	0.6384	19.322388	0.000078	24.983178	2.257208	-0.001879
  82	4.0500e-02	0.6290	19.155620	0.000044	13.934840	1.259000	-0.001048
  83	4.1000e-02	0.6164	18.824468	0.000087	27.670612	2.500015	-0.002081
  84	4.1500e-02	0.6001	18.599332	0.000059	18.812034	1.699651	-0.001415
  85	4.2000e-02	0.5914	18.314636	0.000075	23.788763	2.149294	-0.001789
  86	4.2500e-02	0.5832	18.006116	0.000081	25.779455	2.329151	-0.001938
  87	4.3000e-02	0.5710	17.709509	0.000078	24.784109	2.239222	-0.001864
  88	4.3500e-02	0.5546	17.305693	0.000106	33.742221	3.048580	-0.002537
  89	4.4000e-02	0.5429	17.142499	0.000043	13.636237	1.232022	-0.001025
  90	4.4500e-02	0.5330	16.569534	0.000150	47.876130	4.325566	-0.003600
  91	4.5000e-02	0.5167	16.402767	0.000044	13.934840	1.259000	-0.001048
  92	4.5500e-02	0.5048	15.902464	0.000131	41.804521	3.777001	-0.003143
  93	4.6000e-02	0.4913	15.294955	0.000159	50.762633	4.586359	-0.003817
  94	4.6500e-02	0.4842	15.003112	0.000077	24.385971	2.203251	-0.001834
  95	4.7000e-02	0.4700	14.417043	0.000154	48.971010	4.424487	-0.003682
  96	4.7500e-02	0.4568	13.982257	0.000114	36.330119	3.282394	-0.002732
  97	4.8000e-02	0.4494	13.334246	0.000170	54.146808	4.892116	-0.004071
  98	4.8500e-02	0.4333	12.814885	0.000136	43.397074	3.920887	-0.003263
  99	4.9000e-02	0.4231	12.182360	0.000166	52.852859	4.775209	-0.003974
 100	4.9500e-02	0.4111	11.542688	0.000168	53.450066	4.829166	-0.004019
 101	5.0000e-02	0.3993	10.831544	0.000187	59.422141	5.368738	-0.004468
 102	5.0500e-02	0.3866	10.085855	0.000196	62.308643	5.629531	-0.004685
 103	5.1000e-02	0.3769	9.498596	0.000154	49.070545	4.433480	-0.003690
 104	5.1500e-02	0.3606	8.580184	0.000241	76.741156	6.933495	-0.005770
 105	5.2000e-02	0.3516	7.707037	0.000229	72.958843	6.591767	-0.005486
 106	5.2500e-02	0.3400	6.881538	0.000217	68.977460	6.232052	-0.005187
 107	5.3000e-02	0.3297	5.803506	0.000283	90.078789	8.138539	-0.006773
 108	5.3500e-02	0.3181	5.072112	0.000192	61.114228	5.521616	-0.004595
 109	5.4000e-02	0.2996	3.896402	0.000309	98.240624	8.875953	-0.007387
 110	5.4500e-02	0.2924	2.976798	0.000241	76.840691	6.942488	-0.005778
 111	5.5000e-02	0.2783	1.883281	0.000287	91.372739	8.255446	-0.006871
 112	5.5500e-02	0.2654	0.801675	0.000284	90.377393	8.165517	-0.006796
 113	5.6000e-02	0.2574	-0.322814	0.000295	93.960638	8.489260	-0.007065
 114	5.6500e-02	0.2407	-1.431817	0.000291	92.666688	8.372353	-0.006968
 115	5.7000e-02	0.2338	-2.603954	0.000308	97.942021	8.848975	-0.007365
 116	5.7500e-02	0.2209	-3.805871	0.000316	100.430385	9.073796	-0.007552
 117	5.8000e-02	0.2079	-4.967287	0.000305	97.046209	8.768039	-0.007297
 118	5.8500e-02	0.1947	-6.140615	0.000308	98.041555	8.857967	-0.007372
 119	5.9000e-02	0.1862	-7.342531	0.000316	100.430385	9.073796	-0.007552
 120	5.9500e-02	0.1720	-8.346709	0.000264	83.907646	7.580981	-0.006309
 121	6.0000e-02	0.1624	-9.606994	0.000331	105.307579	9.514446	-0.007918
 122	6.0500e-02	0.1482	-10.462273	0.000225	71.465824	6.456874	-0.005374
 123	6.1000e-02	0.1372	-11.685631	0.000321	102.222007	9.235668	-0.007686
 124	6.1500e-02	0.1221	-12.508747	0.000216	68.778390	6.214067	-0.005172
 125	6.2000e-02	0.1100	-13.512926	0.000264	83.907646	7.580981	-0.006309
 126	6.2500e-02	0.0994	-14.392028	0.000231	73.456515	6.636731	-0.005523
 127	6.3000e-02	0.0866	-15.182982	0.000208	66.090957	5.971259	-0.004970
 128	6.3500e-02	0.0779	-16.013246	0.000218	69.375598	6.268024	-0.005217
 129	6.4000e-02	0.0622	-16.751787	0.000194	61.711436	5.575573	-0.004640
 130	6.4500e-02	0.0496	-17.481990	0.000192	61.014694	5.512623	-0.004588
 131	6.5000e-02	0.0407	-18.152633	0.000176	56.037965	5.062980	-0.004214
 132	6.5500e-02	0.0295	-18.845909	0.000182	57.929122	5.233845	-0.004356
 133	6.6000e-02	0.0204	-19.510597	0.000174	55.540292	5.018016	-0.004176
 134	6.6500e-02	0.0033	-19.900118	0.000102	32.547806	2.940665	-0.002447
 135	6.7000e-02	-0.0089	-20.635085	0.000193	61.412832	5.548595	-0.004618
 136	6.7500e-02	-0.0188	-20.907869	0.000072	22.793417	2.059365	-0.001714
 137	6.8000e-02	-0.0289	-21.549924	0.000169	53.649135	4.847152	-0.004034
 138	6.8500e-02	-0.0481	-21.889415	0.000089	28.367354	2.562965	-0.002133
 139	6.9000e-02	-0.0552	-22.288465	0.000105	33.344082	3.012608	-0.002507
 140	6.9500e-02	-0.0681	-22.663692	0.000098	31.353391	2.832751	-0.002358
 141	7.0000e-02	-0.0789	-22.868578	0.000054	17.119947	1.546772	-0.001287
 142	7.0500e-02	-0.0937	-23.204495	0.000088	28.068750	2.535987	-0.002111
 143	7.1000e-02	-0.1032	-23.408189	0.000053	17.020412	1.537779	-0.001280
 144	7.1500e-02	-0.1153	-23.664297	0.000067	21.399933	1.933465	-0.001609
 145	7.2000e-02	-0.1299	-23.829873	0.000043	13.835306	1.250008	-0.001040
 146	7.2500e-02	-0.1400	-24.026420	0.000052	16.423205	1.483822	-0.001235
 147	7.3000e-02	-0.1524	-24.270615	0.000064	20.404588	1.843536	-0.001534
 148	7.3500e-02	-0.1665	-24.272998	0.000001	0.199069	0.017986	-0.000015
 149	7.4000e-02	-0.1747	-24.582708	0.000081	25.878989	2.338144	-0.001946
 150	7.4500e-02	-0.1887	-24.610106	0.000007	2.289295	0.206836	-0.000172
 151	7.5000e-02	-0.2010	-24.911479	0.000079	25.182247	2.275194	-0.001894
 152	7.5500e-02	-0.1896	-24.870978	0.000011	3.384176	0.305757	0.000254
 153	7.6000e-02	-0.1786	-24.756623	0.000030	9.555319	0.863315	0.000718
 154	7.6500e-02	-0.1666	-24.720887	0.000009	2.986037	0.269786	0.000225
 155	7.7000e-02	-0.1530	-24.587473	0.000035	11.147872	1.007200	0.000838
 156	7.7500e-02	-0.1424	-24.571988	0.000004	1.293949	0.116907	0.000097
 157	7.8000e-02	-0.1321	-24.417132	0.000041	12.939495	1.169072	0.000973
 158	7.8500e-02	-0.1208	-24.367102	0.000013	4.180452	0.377700	0.000314
 159	7.9000e-02	-0.1064	-24.278954	0.000023	7.365558	0.665472	0.000554
 160	7.9500e-02	-0.0948	-24.187231	0.000024	7.664162	0.692450	0.000576
 161	8.0000e-02	-0.0834	-24.040714	0.000038	12.242753	1.106122	0.000921
 162	8.0500e-02	-0.0706	-23.904918	0.000036	11.346941	1.025186	0.000853
 163	8.1000e-02	-0.0574	-23.895389	0.000003	0.796277	0.071943	0.000060
 164	8.1500e-02	-0.0475	-23.809622	0.000023	7.166489	0.647486	0.000539
 165	8.2000e-02	-0.0335	-23.686929	0.000032	10.252061	0.926265	0.000771
 166	8.2500e-02	-0.0229	-23.624987	0.000016	5.175798	0.467629	0.000389
 167	8.3000e-02	-0.0081	-23.391513	0.000061	19.508776	1.762601	0.001467
 168	8.3500e-02	0.0007	-23.384365	0.000002	0.597207	0.053957	0.000045
 169	8.4000e-02	0.0132	-23.161612	0.000058	18.612965	1.681665	0.001400
 170	8.4500e-02	0.0266	-23.115155	0.000012	3.881848	0.350722	0.000292
 171	8.5000e-02	0.0378	-22.928137	0.000049	15.626928	1.411879	0.001175
 172	8.5500e-02	0.0521	-22.838798	0.000023	7.465093	0.674465	0.000561
 173	8.6000e-02	0.0591	-22.672030	0.000044	13.934840	1.259000	0.001048
 174	8.6500e-02	0.0717	-22.527896	0.000038	12.043683	1.088136	0.000906
 175	8.7000e-02	0.0857	-22.421879	0.000028	8.858577	0.800365	0.000666
 176	8.7500e-02	0.0978	-22.243200	0.000047	14.930186	1.348929	0.001123
 177	8.8000e-02	0.1099	-22.057373	0.000049	15.527394	1.402886	0.001168
 178	8.8500e-02	0.1248	-21.934680	0.000032	10.252061	0.926265	0.000771
 179	8.9000e-02	0.1379	-21.591616	0.000090	28.665957	2.589944	0.002155
 180	8.9500e-02	0.1472	-21.553497	0.000010	3.185106	0.287772	0.000239
 181	9.0000e-02	0.1568	-21.186609	0.000096	30.656649	2.769801	0.002305
 182	9.0500e-02	0.1702	-21.155638	0.000008	2.587899	0.233814	0.000195
 183	9.1000e-02	0.1822	-20.762543	0.000103	32.846409	2.967644	0.002470
 184	9.1500e-02	0.1945	-20.579099	0.000048	15.328324	1.384901	0.001153
