!Agilent Technologies,E4990A,MY54100995,A.02.20
!Date: Thu Mar 12 12:44:39 2026

BEGIN CH1_DATA
DCV(V), +1.001e+000, DCI(A), +3.328e-006
DC Bias(V), Cp(F)-data, D()-data, |Z|(Ohm)-data, theta-z(deg)-data
-1.00000000000e+000, +1.50115910434e-011, +2.52193550317e-001, +1.02802557435e+006, -7.58455295554e+001
-9.79797979798e-001, +1.50752316528e-011, +2.50341683069e-001, +1.02413387462e+006, -7.59453326042e+001
-9.59595959596e-001, +1.52958318000e-011, +2.46514982259e-001, +1.01026775660e+006, -7.61518412007e+001
-9.39393939394e-001, +1.55484332926e-011, +2.28292961416e-001, +9.97932894529e+005, -7.71401621704e+001
-9.19191919192e-001, +1.58912229711e-011, +2.26275674325e-001, +9.76832259507e+005, -7.72500667104e+001
-8.98989898990e-001, +1.61137083720e-011, +2.12749983480e-001, +9.66077429359e+005, -7.79893972194e+001
-8.78787878788e-001, +1.62406892078e-011, +2.07135534238e-001, +9.59606706211e+005, -7.82975008295e+001
-8.58585858586e-001, +1.64891878646e-011, +1.98219337112e-001, +9.46787034798e+005, -7.87882014848e+001
-8.38383838384e-001, +1.67268681800e-011, +1.94720997241e-001, +9.33951530291e+005, -7.89811918956e+001
-8.18181818182e-001, +1.69364053674e-011, +1.90716229755e-001, +9.23083342058e+005, -7.92024309944e+001
-7.97979797980e-001, +1.72602145656e-011, +1.78135294992e-001, +9.07800572855e+005, -7.98995465776e+001
-7.77777777778e-001, +1.73777369549e-011, +1.78198376975e-001, +9.01651465094e+005, -7.98960434475e+001
-7.57575757576e-001, +1.77082978353e-011, +1.75348210367e-001, +8.85252731022e+005, -8.00543974972e+001
-7.37373737374e-001, +1.79328200891e-011, +1.73565355104e-001, +8.74433104439e+005, -8.01535304286e+001
-7.17171717172e-001, +1.82162812278e-011, +1.67069254876e-001, +8.61752223121e+005, -8.05152360747e+001
-6.96969696970e-001, +1.86427886216e-011, +1.62255575652e-001, +8.42687217416e+005, -8.07837584756e+001
-6.76767676768e-001, +1.90372369142e-011, +1.61986862109e-001, +8.25261912784e+005, -8.07987603294e+001
-6.56565656566e-001, +1.92503885488e-011, +1.61450169573e-001, +8.16193158634e+005, -8.08287268356e+001
-6.36363636364e-001, +1.95096134024e-011, +1.55489501381e-001, +8.06090795094e+005, -8.11618806873e+001
-6.16161616162e-001, +1.99666660957e-011, +1.62663778700e-001, +7.86762526143e+005, -8.07609715819e+001
-5.95959595960e-001, +2.03318870924e-011, +1.57929071344e-001, +7.73201848942e+005, -8.10254540246e+001
-5.75757575758e-001, +2.07651578383e-011, +1.50685624946e-001, +7.57895728992e+005, -8.14308192711e+001
-5.55555555556e-001, +2.12158994669e-011, +1.51155457724e-001, +7.41742457017e+005, -8.14044993260e+001
-5.35353535354e-001, +2.16083523411e-011, +1.51934212310e-001, +7.28186849203e+005, -8.13608816924e+001
-5.15151515152e-001, +2.19686921451e-011, +1.50275245444e-001, +7.16418379255e+005, -8.14538116369e+001
-4.94949494949e-001, +2.25748061537e-011, +1.51854394319e-001, +6.97020579850e+005, -8.13653517928e+001
-4.74747474747e-001, +2.30109560900e-011, +1.52057768605e-001, +6.83788588308e+005, -8.13539622955e+001
-4.54545454545e-001, +2.36459341137e-011, +1.52839641175e-001, +6.65348905783e+005, -8.13101817848e+001
-4.34343434343e-001, +2.42094391515e-011, +1.54205878044e-001, +6.49728920947e+005, -8.12337046959e+001
-4.14141414141e-001, +2.47613643101e-011, +1.56400111002e-001, +6.35035271582e+005, -8.11109452893e+001
-3.93939393939e-001, +2.55991941397e-011, +1.57911039615e-001, +6.14109033396e+005, -8.10264620282e+001
-3.73737373737e-001, +2.62451722514e-011, +1.65014763794e-001, +5.98324634240e+005, -8.06297914218e+001
-3.53535353535e-001, +2.69985572155e-011, +1.65867884688e-001, +5.81548702609e+005, -8.05822134464e+001
-3.33333333333e-001, +2.76918841584e-011, +1.65275338159e-001, +5.67042502634e+005, -8.06152579794e+001
-3.13131313131e-001, +2.86220827739e-011, +1.73339204065e-001, +5.47886358342e+005, -8.01661094792e+001
-2.92929292929e-001, +2.93986362162e-011, +1.77997322212e-001, +5.32990907644e+005, -7.99072088822e+001
-2.72727272727e-001, +3.02528687718e-011, +1.84674870762e-001, +5.17334318751e+005, -7.95367949729e+001
-2.52525252525e-001, +3.11423016181e-011, +1.89011630167e-001, +5.02165777535e+005, -7.92966991298e+001
-2.32323232323e-001, +3.22957118073e-011, +1.89716119333e-001, +4.84169052734e+005, -7.92577321786e+001
-2.12121212121e-001, +3.32468941330e-011, +1.99411966351e-001, +4.69463061209e+005, -7.87224671924e+001
-1.91919191919e-001, +3.44136655130e-011, +2.05972757979e-001, +4.52967283898e+005, -7.83613968947e+001
-1.71717171717e-001, +3.56041889460e-011, +2.13844052445e-001, +4.37128779837e+005, -7.79294395035e+001
-1.51515151515e-001, +3.66852591392e-011, +2.22891752715e-001, +4.23447845443e+005, -7.74346414429e+001
-1.31313131313e-001, +3.82096470033e-011, +2.30947165858e-001, +4.05848102777e+005, -7.69957041299e+001
-1.11111111111e-001, +3.95209066947e-011, +2.35870726756e-001, +3.91955119667e+005, -7.67281799460e+001
-9.09090909091e-002, +4.10204110571e-011, +2.47885103143e-001, +3.76591888722e+005, -7.60778599043e+001
-7.07070707071e-002, +4.23634921913e-011, +2.56384447600e-001, +3.63918533978e+005, -7.56199929298e+001
-5.05050505051e-002, +4.41763149041e-011, +2.68507935204e-001, +3.47947487750e+005, -7.49701350764e+001
-3.03030303030e-002, +4.59384433661e-011, +2.78680880059e-001, +3.33735467882e+005, -7.44278628368e+001
-1.01010101010e-002, +4.82868144514e-011, +2.92922646388e-001, +3.16312185132e+005, -7.36734972141e+001
+1.01010101010e-002, +5.10088660471e-011, +3.15206114978e-001, +2.97581210017e+005, -7.25048298164e+001
+3.03030303030e-002, +5.38195383041e-011, +3.32511163563e-001, +2.80613416866e+005, -7.16074578011e+001
+5.05050505051e-002, +5.63674041315e-011, +3.51982474331e-001, +2.66335999478e+005, -7.06088249395e+001
+7.07070707071e-002, +5.89764982187e-011, +3.70748795331e-001, +2.53031214698e+005, -6.96577988264e+001
+9.09090909091e-002, +6.10410741648e-011, +3.85750495377e-001, +2.43262463001e+005, -6.89058545402e+001
+1.11111111111e-001, +6.27075364846e-011, +3.97975795008e-001, +2.35816386113e+005, -6.82986416297e+001
+1.31313131313e-001, +6.35848578456e-011, +4.03969486554e-001, +2.32081672591e+005, -6.80027947743e+001
+1.51515151515e-001, +6.44040073828e-011, +4.06836173020e-001, +2.28901259212e+005, -6.78617299841e+001
+1.71717171717e-001, +6.41395059808e-011, +4.04085113249e-001, +2.30065500214e+005, -6.79970995328e+001
+1.91919191919e-001, +6.36533643291e-011, +4.02192105741e-001, +2.31974817343e+005, -6.80903979360e+001
+2.12121212121e-001, +6.25975233321e-011, +3.90729986785e-001, +2.36815705092e+005, -6.86579219429e+001
+2.32323232323e-001, +6.11987432348e-011, +3.82177416844e-001, +2.42926017510e+005, -6.90842728554e+001
+2.52525252525e-001, +5.95630924596e-011, +3.64418421095e-001, +2.51053409060e+005, -6.99773279506e+001
+2.72727272727e-001, +5.78335595712e-011, +3.54932414303e-001, +2.59343546216e+005, -7.04585767247e+001
+2.92929292929e-001, +5.56860743457e-011, +3.36766387381e-001, +2.70860488883e+005, -7.13882043197e+001
+3.13131313131e-001, +5.36268496146e-011, +3.21271518686e-001, +2.82558054457e+005, -7.21892672876e+001
+3.33333333333e-001, +5.16084923336e-011, +3.06824875846e-001, +2.94823578579e+005, -7.29426838835e+001
+3.53535353535e-001, +4.95764472566e-011, +2.92311403940e-001, +3.08134713842e+005, -7.37057566229e+001
+3.73737373737e-001, +4.75728685789e-011, +2.80434368815e-001, +3.22123077610e+005, -7.43346779753e+001
+3.93939393939e-001, +4.58262697161e-011, +2.68506856146e-001, +3.35419881178e+005, -7.49701927443e+001
+4.14141414141e-001, +4.40499186190e-011, +2.55956724422e-001, +3.50022105328e+005, -7.56429904853e+001
+4.34343434343e-001, +4.24046361878e-011, +2.47786704079e-001, +3.64307075713e+005, -7.60831715030e+001
+4.54545454545e-001, +4.07747433060e-011, +2.31612543336e-001, +3.80261074009e+005, -7.69595164995e+001
+4.74747474747e-001, +3.93456238962e-011, +2.27390176380e-001, +3.94435921279e+005, -7.71893352766e+001
+4.94949494949e-001, +3.79628453522e-011, +2.20163306042e-001, +4.09433130524e+005, -7.75836569912e+001
+5.15151515152e-001, +3.67004479659e-011, +2.12226396028e-001, +4.24211365970e+005, -7.80181005780e+001
+5.35353535354e-001, +3.53639327515e-011, +2.03177417793e-001, +4.41037573874e+005, -7.85151243625e+001
+5.55555555556e-001, +3.43225683164e-011, +1.97412190935e-001, +4.54923656243e+005, -7.88327060409e+001
+5.75757575758e-001, +3.32166365644e-011, +1.93686416560e-001, +4.70400099009e+005, -7.90383146101e+001
+5.95959595960e-001, +3.21651384152e-011, +1.87387825677e-001, +4.86340653928e+005, -7.93865536859e+001
+6.16161616162e-001, +3.12640789846e-011, +1.83153508500e-001, +5.00737081336e+005, -7.96211106653e+001
+6.36363636364e-001, +3.03388870256e-011, +1.74897748891e-001, +5.16746672369e+005, -8.00794390621e+001
+6.56565656566e-001, +2.94899874958e-011, +1.72249676672e-001, +5.31859013611e+005, -8.02267249435e+001
+6.76767676768e-001, +2.87102881249e-011, +1.64605512361e-001, +5.46987344822e+005, -8.06526197301e+001
+6.96969696970e-001, +2.79907242025e-011, +1.63498115125e-001, +5.61148136631e+005, -8.07144060571e+001
+7.17171717172e-001, +2.72712823346e-011, +1.60686073519e-001, +5.76207607739e+005, -8.08713992645e+001
+7.37373737374e-001, +2.65964924616e-011, +1.54408201907e-001, +5.91397273545e+005, -8.12223819935e+001
+7.57575757576e-001, +2.60351025920e-011, +1.52415289205e-001, +6.04329948222e+005, -8.13339418668e+001
+7.77777777778e-001, +2.53142903144e-011, +1.50527112083e-001, +6.21711753449e+005, -8.14396999550e+001
+7.97979797980e-001, +2.47339593369e-011, +1.47022226236e-001, +6.36623615959e+005, -8.16361663696e+001
+8.18181818182e-001, +2.42259505233e-011, +1.44403866604e-001, +6.50216239952e+005, -8.17830681866e+001
+8.38383838384e-001, +2.37549771295e-011, +1.39131467981e-001, +6.63593677826e+005, -8.20792020246e+001
+8.58585858586e-001, +2.31262644636e-011, +1.38738170666e-001, +6.81670736052e+005, -8.21013095613e+001
+8.78787878788e-001, +2.26170281103e-011, +1.36853912796e-001, +6.97196600056e+005, -8.22072578366e+001
+8.98989898990e-001, +2.23382398458e-011, +1.35728456717e-001, +7.06004143927e+005, -8.22705657510e+001
+9.19191919192e-001, +2.18747131682e-011, +1.27579958201e-001, +7.21725070877e+005, -8.27294836137e+001
+9.39393939394e-001, +2.14261212406e-011, +1.29875138243e-001, +7.36621480379e+005, -8.26001231413e+001
+9.59595959596e-001, +2.09885146215e-011, +1.27698486037e-001, +7.52187288174e+005, -8.27228013351e+001
+9.79797979798e-001, +2.06768366925e-011, +1.27748773098e-001, +7.63520762835e+005, -8.27199663468e+001
+1.00000000000e+000, +2.02136344149e-011, +1.28229778934e-001, +7.80969793842e+005, -8.26928509276e+001
END
