»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.51.0
»»»  Vision Version:	5.51.3 (R)
»»»  Vision Compiled:	8/27/25
»»»  Driver Version:	5.51.0
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF20724-485 (500V)
»»»  Tester S/N:	PMF20724-485
»»»  Internal Amp Type:	500V Rev D Slow
»»»  Internal Amp S/N:	  iAB5-000/D   
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	3/12/2026 - 12:41:42
Configured:	03/09/26 06:20:57 PM
Executed:	03/12/26 12:40:54 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	3.14e-06
Sample Thickness (microns):	8.00e-02

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF20724-485 (500V)
Tester Serial Number:	PMF20724-485
Return Signal Amp. Level:	20.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	'
Volts:	0.75
Field:	93.75 (kV/cm)
DCBias:	0.25
DCField:	31.25 (kV/cm)
Hysteresis Period (ms):	2.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.2462	0.464566	0.000021	6.617385	0.597875	0.000621
   2	5.0000e-04	0.2576	0.563436	0.000021	6.617385	0.597875	0.000621
   3	1.0000e-03	0.2758	1.000605	0.000092	29.260005	2.643615	0.002747
   4	1.5000e-03	0.2914	1.254329	0.000053	16.981965	1.534305	0.001594
   5	2.0000e-03	0.3049	1.558084	0.000064	20.330521	1.836845	0.001908
   6	2.5000e-03	0.3215	1.970238	0.000087	27.585726	2.492346	0.002590
   7	3.0000e-03	0.3357	2.294243	0.000068	21.685889	1.959301	0.002036
   8	3.5000e-03	0.3487	2.645646	0.000074	23.519622	2.124977	0.002208
   9	4.0000e-03	0.3638	3.087580	0.000093	29.578915	2.672429	0.002777
  10	4.5000e-03	0.3799	3.381805	0.000062	19.692701	1.779218	0.001849
  11	5.0000e-03	0.3948	3.799915	0.000088	27.984364	2.528362	0.002627
  12	5.5000e-03	0.4112	4.050066	0.000053	16.742782	1.512695	0.001572
  13	6.0000e-03	0.4264	4.481279	0.000091	28.861367	2.607599	0.002709
  14	6.5000e-03	0.4421	4.720709	0.000050	16.025234	1.447866	0.001504
  15	7.0000e-03	0.4556	5.287718	0.000119	37.950306	3.428776	0.003563
  16	7.5000e-03	0.4684	5.235306	-0.000011	-3.508011	-0.316946	-0.000329
  17	8.0000e-03	0.4832	5.726078	0.000103	32.847744	2.967764	0.003084
  18	8.5000e-03	0.4979	5.892846	0.000035	11.161855	1.008464	0.001048
  19	9.0000e-03	0.5142	6.169203	0.000058	18.496788	1.671168	0.001736
  20	9.5000e-03	0.5318	6.412207	0.000051	16.264417	1.469476	0.001527
  21	1.0000e-02	0.5443	6.712389	0.000063	20.091338	1.815235	0.001886
  22	1.0500e-02	0.5587	6.864862	0.000032	10.205124	0.922024	0.000958
  23	1.1000e-02	0.5750	7.176955	0.000066	20.888614	1.887268	0.001961
  24	1.1500e-02	0.5915	7.312751	0.000029	9.088939	0.821178	0.000853
  25	1.2000e-02	0.6048	7.602212	0.000061	19.373790	1.750405	0.001819
  26	1.2500e-02	0.6197	7.779700	0.000037	11.879402	1.073293	0.001115
  27	1.3000e-02	0.6359	8.057249	0.000058	18.576515	1.678372	0.001744
  28	1.3500e-02	0.6512	8.204957	0.000031	9.886214	0.893211	0.000928
  29	1.4000e-02	0.6644	8.411034	0.000043	13.792863	1.246173	0.001295
  30	1.4500e-02	0.6837	8.563507	0.000032	10.205124	0.922024	0.000958
  31	1.5000e-02	0.6975	8.758863	0.000041	13.075315	1.181343	0.001227
  32	1.5500e-02	0.7111	8.972087	0.000045	14.271228	1.289393	0.001340
  33	1.6000e-02	0.7243	8.945881	-0.000006	-1.754006	-0.158473	-0.000165
  34	1.6500e-02	0.7449	9.188885	0.000051	16.264417	1.469476	0.001527
  35	1.7000e-02	0.7536	9.602230	0.000087	27.665454	2.499549	0.002597
  36	1.7500e-02	0.7673	9.554582	-0.000010	-3.189101	-0.288132	-0.000299
  37	1.8000e-02	0.7879	9.878587	0.000068	21.685889	1.959301	0.002036
  38	1.8500e-02	0.8018	9.931000	0.000011	3.508011	0.316946	0.000329
  39	1.9000e-02	0.8133	10.140650	0.000044	14.032046	1.267783	0.001317
  40	1.9500e-02	0.8286	10.234755	0.000020	6.298475	0.569062	0.000591
  41	2.0000e-02	0.8447	10.438449	0.000043	13.633408	1.231766	0.001280
  42	2.0500e-02	0.8589	10.562333	0.000026	8.291663	0.749144	0.000778
  43	2.1000e-02	0.8776	10.687409	0.000026	8.371391	0.756348	0.000786
  44	2.1500e-02	0.8909	11.006650	0.000067	21.366979	1.930488	0.002006
  45	2.2000e-02	0.9035	10.979252	-0.000006	-1.833733	-0.165676	-0.000172
  46	2.2500e-02	0.9212	11.166270	0.000039	12.517223	1.130920	0.001175
  47	2.3000e-02	0.9341	11.219874	0.000011	3.587739	0.324149	0.000337
  48	2.3500e-02	0.9494	11.377111	0.000033	10.524034	0.950837	0.000988
  49	2.4000e-02	0.9634	11.605821	0.000048	15.307686	1.383036	0.001437
  50	2.4500e-02	0.9824	11.487893	-0.000025	-7.893026	-0.713128	-0.000741
  51	2.5000e-02	0.9919	11.854781	0.000077	24.556080	2.218620	0.002305
  52	2.5500e-02	0.9830	11.641557	0.000045	14.271228	1.289393	-0.001340
  53	2.6000e-02	0.9656	11.591527	0.000011	3.348556	0.302539	-0.000314
  54	2.6500e-02	0.9512	11.504569	0.000018	5.820110	0.525842	-0.000546
  55	2.7000e-02	0.9390	11.342567	0.000034	10.842944	0.979650	-0.001018
  56	2.7500e-02	0.9192	11.261565	0.000017	5.421472	0.489825	-0.000509
  57	2.8000e-02	0.9092	11.144828	0.000025	7.813298	0.705925	-0.000733
  58	2.8500e-02	0.8932	11.062636	0.000017	5.501200	0.497029	-0.000516
  59	2.9000e-02	0.8750	10.838691	0.000047	14.988776	1.354223	-0.001407
  60	2.9500e-02	0.8647	10.794617	0.000009	2.949919	0.266523	-0.000277
  61	3.0000e-02	0.8477	10.632614	0.000034	10.842944	0.979650	-0.001018
  62	3.0500e-02	0.8311	10.538510	0.000020	6.298475	0.569062	-0.000591
  63	3.1000e-02	0.8180	10.164474	0.000079	25.034445	2.261840	-0.002350
  64	3.1500e-02	0.8041	10.141841	0.000005	1.514823	0.136863	-0.000142
  65	3.2000e-02	0.7835	10.150180	-0.000002	-0.558093	-0.050423	0.000052
  66	3.2500e-02	0.7734	9.978648	0.000036	11.480765	1.037277	-0.001078
  67	3.3000e-02	0.7587	9.795203	0.000039	12.278040	1.109310	-0.001153
  68	3.3500e-02	0.7394	9.732070	0.000013	4.225559	0.381776	-0.000397
  69	3.4000e-02	0.7296	9.539096	0.000041	12.915860	1.166937	-0.001212
  70	3.4500e-02	0.7137	9.399726	0.000029	9.328121	0.842787	-0.000876
  71	3.5000e-02	0.6986	9.187693	0.000045	14.191501	1.282190	-0.001332
  72	3.5500e-02	0.6834	9.062618	0.000026	8.371391	0.756348	-0.000786
