!Agilent Technologies,E4990A,MY54100995,A.02.20
!Date: Thu Mar 12 12:50:02 2026

BEGIN CH1_DATA
DCV(V), -1.000e+000, DCI(A), +4.130e-006
DC Bias(V), Cp(F)-data, D()-data, |Z|(Ohm)-data, theta-z(deg)-data
-1.00000000000e+000, +1.04107183368e-011, +1.33564398467e-001, +1.51530409002e+006, -8.23923492183e+001
-9.79797979798e-001, +1.03837094800e-011, +1.39079846793e-001, +1.51812449276e+006, -8.20821035551e+001
-9.59595959596e-001, +1.05712662957e-011, +1.14876937199e-001, +1.49570599018e+006, -8.34467626436e+001
-9.39393939394e-001, +1.07405863409e-011, +1.15874699598e-001, +1.47195969109e+006, -8.33903460674e+001
-9.19191919192e-001, +1.07689307291e-011, +1.14383591448e-001, +1.46833416662e+006, -8.34746626635e+001
-8.98989898990e-001, +1.09259133089e-011, +1.11320781506e-001, +1.44773129058e+006, -8.36479418014e+001
-8.78787878788e-001, +1.10569135336e-011, +9.60777626838e-002, +1.43281771017e+006, -8.45119948013e+001
-8.58585858586e-001, +1.12496380007e-011, +9.96220469225e-002, +1.40778754569e+006, -8.43108483730e+001
-8.38383838384e-001, +1.13702769098e-011, +1.03596112363e-001, +1.39229431235e+006, -8.40854782922e+001
-8.18181818182e-001, +1.13812941015e-011, +9.39218803714e-002, +1.39226325029e+006, -8.46344128941e+001
-7.97979797980e-001, +1.15743963380e-011, +9.03806229904e-002, +1.36947839824e+006, -8.48356033135e+001
-7.77777777778e-001, +1.17862931433e-011, +8.11140208221e-002, +1.34591878894e+006, -8.53626615963e+001
-7.57575757576e-001, +1.18919604302e-011, +8.57686126733e-002, +1.33344507750e+006, -8.50978175571e+001
-7.37373737374e-001, +1.19707242794e-011, +8.04374652795e-002, +1.32525437473e+006, -8.54011740888e+001
-7.17171717172e-001, +1.21977064456e-011, +7.39751409767e-002, +1.30123847028e+006, -8.57692427581e+001
-6.96969696970e-001, +1.24099294825e-011, +7.09781926786e-002, +1.27926228848e+006, -8.59400578528e+001
-6.76767676768e-001, +1.25479599430e-011, +6.86762597222e-002, +1.26539250031e+006, -8.60713088799e+001
-6.56565656566e-001, +1.26800319492e-011, +7.67230156248e-002, +1.25148402735e+006, -8.56126900598e+001
-6.36363636364e-001, +1.29685138964e-011, +6.22639070441e-002, +1.22486919479e+006, -8.64371403180e+001
-6.16161616162e-001, +1.31150267397e-011, +5.96145214747e-002, +1.21138056485e+006, -8.65883772108e+001
-5.95959595960e-001, +1.33683494706e-011, +5.91021389742e-002, +1.18846160061e+006, -8.66176314901e+001
-5.75757575758e-001, +1.35322553080e-011, +5.87682412603e-002, +1.17408970000e+006, -8.66366962012e+001
-5.55555555556e-001, +1.38440607022e-011, +4.56460479985e-002, +1.14843036728e+006, -8.73864882285e+001
-5.35353535354e-001, +1.39879259368e-011, +5.30094071910e-002, +1.13620705096e+006, -8.69656247622e+001
-5.15151515152e-001, +1.43291330900e-011, +4.82753963833e-002, +1.10941680295e+006, -8.72361692489e+001
-4.94949494949e-001, +1.45930743449e-011, +4.67478377631e-002, +1.08942994739e+006, -8.73234947694e+001
-4.74747474747e-001, +1.48456473895e-011, +4.95846368251e-002, +1.07074920284e+006, -8.71613344732e+001
-4.54545454545e-001, +1.52204783766e-011, +4.58311520180e-002, +1.04456673426e+006, -8.73759046904e+001
-4.34343434343e-001, +1.55319057205e-011, +4.55913748042e-002, +1.02363351765e+006, -8.73896142663e+001
-4.14141414141e-001, +1.59625653490e-011, +4.14827430189e-002, +9.96194394534e+005, -8.76245758352e+001
-3.93939393939e-001, +1.62986218986e-011, +4.66894663749e-002, +9.75430657582e+005, -8.73268319198e+001
-3.73737373737e-001, +1.66548133516e-011, +3.92833292427e-002, +9.54872800568e+005, -8.77503877389e+001
-3.53535353535e-001, +1.72071980913e-011, +4.44677604154e-002, +9.24019240033e+005, -8.74538623485e+001
-3.33333333333e-001, +1.76838204376e-011, +3.83982904285e-002, +8.99340399506e+005, -8.78010203396e+001
-3.13131313131e-001, +1.81942665974e-011, +4.01132778900e-002, +8.74050352266e+005, -8.77029100097e+001
-2.92929292929e-001, +1.87851172234e-011, +4.51611882201e-002, +8.46376885331e+005, -8.74142114957e+001
-2.72727272727e-001, +1.95086167293e-011, +4.22956739911e-002, +8.15089957237e+005, -8.75780799107e+001
-2.52525252525e-001, +2.02093406127e-011, +4.29422098907e-002, +7.86806483514e+005, -8.75411032970e+001
-2.32323232323e-001, +2.09166944048e-011, +4.86296514712e-002, +7.60001006417e+005, -8.72159194670e+001
-2.12121212121e-001, +2.15735729284e-011, +5.04539689734e-002, +7.36793839870e+005, -8.71116497210e+001
-1.91919191919e-001, +2.24189484141e-011, +4.91052337439e-002, +7.09058245822e+005, -8.71887355265e+001
-1.71717171717e-001, +2.35293914479e-011, +5.79901332965e-002, +6.75274619658e+005, -8.66811270751e+001
-1.51515151515e-001, +2.43406680789e-011, +5.57686020987e-002, +6.52849878891e+005, -8.68080009151e+001
-1.31313131313e-001, +2.55272576661e-011, +5.71356221314e-002, +6.22455417921e+005, -8.67299252634e+001
-1.11111111111e-001, +2.63273265037e-011, +5.69665779039e-002, +6.03545239654e+005, -8.67395793618e+001
-9.09090909091e-002, +2.74206705320e-011, +5.55801496259e-002, +5.79525157871e+005, -8.68187650814e+001
-7.07070707071e-002, +2.84592424672e-011, +5.29944767941e-002, +5.58454520980e+005, -8.69664778145e+001
-5.05050505051e-002, +2.92521003680e-011, +5.40987619083e-002, +5.43285964362e+005, -8.69033878386e+001
-3.03030303030e-002, +3.00272420031e-011, +5.26371326494e-002, +5.29302416288e+005, -8.69868951712e+001
-1.01010101010e-002, +3.08980713377e-011, +5.32944755222e-002, +5.14366730915e+005, -8.69493375635e+001
+1.01010101010e-002, +3.20278850782e-011, +5.16727896074e-002, +4.96264081338e+005, -8.70419980657e+001
+3.03030303030e-002, +3.33117465872e-011, +5.29875466296e-002, +4.77104927478e+005, -8.69668737718e+001
+5.05050505051e-002, +3.49903203079e-011, +5.74288873226e-002, +4.54105982654e+005, -8.67131773600e+001
+7.07070707071e-002, +3.70510391828e-011, +6.24825825528e-002, +4.28719887634e+005, -8.64246596892e+001
+9.09090909091e-002, +3.93052234388e-011, +6.49451741505e-002, +4.04069330715e+005, -8.62841341116e+001
+1.11111111111e-001, +4.22014635938e-011, +6.99421675049e-002, +3.76212260101e+005, -8.59991244732e+001
+1.31313131313e-001, +4.48200308758e-011, +7.36411940647e-002, +3.54138845230e+005, -8.57882728374e+001
+1.51515151515e-001, +4.81423218820e-011, +7.96038803637e-002, +3.29550084233e+005, -8.54486311018e+001
+1.71717171717e-001, +5.15979395495e-011, +8.48984406759e-002, +3.07346480229e+005, -8.51473143110e+001
+1.91919191919e-001, +5.41197643091e-011, +8.62347035293e-002, +2.92991762748e+005, -8.50713085866e+001
+2.12121212121e-001, +5.73574604607e-011, +8.91679421119e-002, +2.76382489265e+005, -8.49045292980e+001
+2.32323232323e-001, +5.94807002770e-011, +8.77584823369e-002, +2.66549636857e+005, -8.49846583128e+001
+2.52525252525e-001, +6.20352252116e-011, +9.03639202103e-002, +2.55514660197e+005, -8.48365525597e+001
+2.72727272727e-001, +6.32623789238e-011, +8.96571433583e-002, +2.50574039106e+005, -8.48767224366e+001
+2.92929292929e-001, +6.40879212317e-011, +8.83731710579e-002, +2.47374343342e+005, -8.49497102870e+001
+3.13131313131e-001, +6.42318380365e-011, +8.60907144197e-002, +2.46868856722e+005, -8.50794977583e+001
+3.33333333333e-001, +6.36618784817e-011, +8.50071748028e-002, +2.49101975113e+005, -8.51411289441e+001
+3.53535353535e-001, +6.23278118268e-011, +8.16782052260e-002, +2.54503876431e+005, -8.53305489686e+001
+3.73737373737e-001, +5.99073363684e-011, +7.69827556976e-002, +2.64884795505e+005, -8.55978954324e+001
+3.93939393939e-001, +5.75692430452e-011, +7.40607636013e-002, +2.75703205282e+005, -8.57643636739e+001
+4.14141414141e-001, +5.44844465950e-011, +6.99091015861e-002, +2.91399574030e+005, -8.60010097923e+001
+4.34343434343e-001, +5.16138308260e-011, +6.42236500635e-002, +3.07723184027e+005, -8.63253026748e+001
+4.54545454545e-001, +4.83957969234e-011, +6.33117477387e-002, +3.28203960659e+005, -8.63773392285e+001
+4.74747474747e-001, +4.54432966668e-011, +5.48983889809e-002, +3.49700973047e+005, -8.68577082572e+001
+4.94949494949e-001, +4.25569637338e-011, +5.25696199017e-002, +3.73465271973e+005, -8.69907526925e+001
+5.15151515152e-001, +3.99912872880e-011, +4.94433166916e-002, +3.97488481703e+005, -8.71694117179e+001
+5.35353535354e-001, +3.77500822352e-011, +4.91769998901e-002, +4.21092706784e+005, -8.71846335349e+001
+5.55555555556e-001, +3.57036407008e-011, +4.69058360018e-002, +4.45277135281e+005, -8.73144619439e+001
+5.75757575758e-001, +3.38765382423e-011, +4.10730343771e-002, +4.69412974968e+005, -8.76480104815e+001
+5.95959595960e-001, +3.20859752509e-011, +3.93690167709e-002, +4.95642555241e+005, -8.77454857863e+001
+6.16161616162e-001, +3.05994850265e-011, +3.80735620870e-002, +5.19746371620e+005, -8.78195987415e+001
+6.36363636364e-001, +2.93793099087e-011, +3.68055302710e-002, +5.41358029162e+005, -8.78921499068e+001
+6.56565656566e-001, +2.81895637205e-011, +3.36938641560e-002, +5.64267964865e+005, -8.80702138477e+001
+6.76767676768e-001, +2.70396968726e-011, +3.60647747529e-002, +5.88214952375e+005, -8.79345358016e+001
+6.96969696970e-001, +2.59371570880e-011, +3.03133203967e-002, +6.13335799977e+005, -8.82637063732e+001
+7.17171717172e-001, +2.51963133592e-011, +2.93507339472e-002, +6.31387742450e+005, -8.83188094710e+001
+7.37373737374e-001, +2.42871230711e-011, +3.37992844248e-002, +6.54931882237e+005, -8.80641805821e+001
+7.57575757576e-001, +2.34313419929e-011, +2.94397317315e-002, +6.78945398518e+005, -8.83137146758e+001
+7.77777777778e-001, +2.28202399092e-011, +3.01463933343e-002, +6.97112180130e+005, -8.82732618571e+001
+7.97979797980e-001, +2.21053617700e-011, +3.04750500111e-002, +7.19649333528e+005, -8.82544485014e+001
+8.18181818182e-001, +2.15885191665e-011, +2.88955086855e-002, +7.36912709021e+005, -8.83448698535e+001
+8.38383838384e-001, +2.10348456436e-011, +3.07372356203e-002, +7.56268032587e+005, -8.82394404312e+001
