!Agilent Technologies,E4990A,MY54100995,A.02.20
!Date: Thu Mar 12 12:51:29 2026

BEGIN CH1_DATA
DCV(V), +2.505e-001, DCI(A), +3.642e-006
Frequency(Hz), Cp(F)-data, D()-data, |Z|(Ohm)-data, theta-z(deg)-data
+1.00000000000e+003, +6.07140995588e-011, +7.90405591864e-002, +2.61323331041e+006, -8.54807052162e+001
+1.08423300000e+003, +6.04347221463e-011, +7.50903644839e-002, +2.42208857491e+006, -8.57056981629e+001
+1.17556000000e+003, +5.95940756772e-011, +7.45130907414e-002, +2.26553060231e+006, -8.57385894744e+001
+1.27458100000e+003, +6.05483404124e-011, +7.56861878670e-002, +2.05641181627e+006, -8.56717529228e+001
+1.38194200000e+003, +5.87316569699e-011, +7.71711348499e-002, +1.95509876895e+006, -8.55871658450e+001
+1.49834600000e+003, +5.78206136205e-011, +1.11062716009e-001, +1.82584208055e+006, -8.36625472887e+001
+1.62455600000e+003, +6.01132451733e-011, +6.01030434296e-002, +1.62679289671e+006, -8.65604868982e+001
+1.76139600000e+003, +5.73351664067e-011, +5.98671336063e-002, +1.57313201026e+006, -8.65739550740e+001
+1.90976300000e+003, +5.83183190430e-011, +5.95635011502e-002, +1.42648308181e+006, -8.65912901168e+001
+2.07062700000e+003, +5.77018501607e-011, +6.00154082801e-002, +1.32968201260e+006, -8.65654899757e+001
+2.24504100000e+003, +5.78791020278e-011, +6.55166940110e-002, +1.22220476966e+006, -8.62515271815e+001
+2.43414700000e+003, +5.86351356214e-011, +4.98702207627e-002, +1.11371998378e+006, -8.71450120813e+001
+2.63918100000e+003, +5.76177503598e-011, +7.18451331420e-002, +1.04394276071e+006, -8.58906378497e+001
+2.86148600000e+003, +5.76109246388e-011, +5.54079290115e-002, +9.63957821310e+005, -8.68286023012e+001
+3.10251700000e+003, +5.77482731762e-011, +5.98237156139e-002, +8.86729595337e+005, -8.65764338640e+001
+3.36384900000e+003, +5.69895117178e-011, +5.90000651789e-002, +8.28770195669e+005, -8.66234595651e+001
+3.64719500000e+003, +5.69148702686e-011, +5.84276630481e-002, +7.65412172368e+005, -8.66561431199e+001
+3.95440800000e+003, +5.67394404171e-011, +5.91647723933e-002, +7.08100363092e+005, -8.66140553644e+001
+4.28749700000e+003, +5.69191913364e-011, +6.20894855608e-002, +6.50911681105e+005, -8.64470954469e+001
+4.64864400000e+003, +5.66285151028e-011, +5.91358720233e-002, +6.03532440599e+005, -8.66157054603e+001
+5.04021100000e+003, +5.63884404813e-011, +6.38319314956e-002, +5.58853992654e+005, -8.63476548611e+001
