»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.51.0
»»»  Vision Version:	5.51.3 (R)
»»»  Vision Compiled:	8/27/25
»»»  Driver Version:	5.51.0
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF20724-485 (500V)
»»»  Tester S/N:	PMF20724-485
»»»  Internal Amp Type:	500V Rev D Slow
»»»  Internal Amp S/N:	  iAB5-000/D   
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	3/12/2026 - 12:49:55
Configured:	03/09/26 06:20:57 PM
Executed:	03/12/26 12:49:33 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	3.14e-06
Sample Thickness (microns):	8.00e-02

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF20724-485 (500V)
Tester Serial Number:	PMF20724-485
Return Signal Amp. Level:	100.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	'
Volts:	0.75
Field:	93.75 (kV/cm)
DCBias:	0.25
DCField:	31.25 (kV/cm)
Hysteresis Period (ms):	2.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.2493	-3.711036	-0.000006	-1.752240	-0.158313	0.000018
   2	1.0000e-03	0.2478	-3.705311	-0.000006	-1.752240	-0.158313	0.000018
   3	2.0000e-03	0.2515	-3.686575	0.000018	5.734603	0.518116	0.000059
   4	3.0000e-03	0.2559	-3.653527	0.000032	10.115202	0.913900	0.000104
   5	4.0000e-03	0.2596	-3.607728	0.000044	14.017918	1.266506	0.000144
   6	5.0000e-03	0.2596	-3.563490	-0.000043	-13.540035	-1.223330	0.000139
   7	6.0000e-03	0.2619	-3.520033	0.000042	13.301093	1.201742	0.000137
   8	7.0000e-03	0.2671	-3.478657	0.000040	12.663915	1.144173	0.000130
   9	8.0000e-03	0.2699	-3.420888	0.000056	17.681692	1.597525	0.000181
  10	9.0000e-03	0.2744	-3.362338	0.000056	17.920634	1.619113	0.000184
  11	1.0000e-02	0.2805	-3.302747	0.000057	18.239223	1.647898	0.000187
  12	1.1000e-02	0.2848	-3.238732	0.000062	19.593227	1.770231	0.000201
  13	1.2000e-02	0.2843	-3.168732	-0.000067	-21.425114	-1.935740	0.000220
  14	1.3000e-02	0.2854	-3.093267	0.000073	23.097706	2.086857	0.000237
  15	1.4000e-02	0.2888	-3.031334	0.000060	18.956049	1.712662	0.000195
  16	1.5000e-02	0.2945	-2.961595	0.000067	21.345466	1.928544	0.000219
  17	1.6000e-02	0.2946	-2.887952	0.000071	22.540175	2.036485	0.000231
  18	1.7000e-02	0.2979	-2.811186	0.000074	23.495943	2.122838	0.000241
  19	1.8000e-02	0.3014	-2.736242	0.000072	22.938412	2.072465	0.000235
  20	1.9000e-02	0.3049	-2.647246	0.000086	27.239364	2.461052	0.000280
  21	2.0000e-02	0.3085	-2.551223	0.000092	29.389840	2.655346	0.000302
  22	2.1000e-02	0.3068	-2.457803	-0.000090	-28.593367	-2.583385	0.000293
  23	2.2000e-02	0.3149	-2.371670	0.000083	26.363244	2.381896	0.000271
  24	2.3000e-02	0.3158	-2.280332	0.000088	27.956189	2.525817	0.000287
