»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.51.0
»»»  Vision Version:	5.51.3 (R)
»»»  Vision Compiled:	8/27/25
»»»  Driver Version:	5.51.0
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF20724-485 (500V)
»»»  Tester S/N:	PMF20724-485
»»»  Internal Amp Type:	500V Rev D Slow
»»»  Internal Amp S/N:	  iAB5-000/D   
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	3/12/2026 - 15:52:43
Configured:	03/09/26 06:20:57 PM
Executed:	03/12/26 03:51:52 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	3.14e-06
Sample Thickness (microns):	3.00e-02

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF20724-485 (500V)
Tester Serial Number:	PMF20724-485
Return Signal Amp. Level:	20.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	'
Volts:	0.75
Field:	250.00 (kV/cm)
DCBias:	0.25
DCField:	83.33 (kV/cm)
Hysteresis Period (ms):	2.00e-01
Preset:	DisabledProfile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.2482	-5.338344	0.000052	16.512664	0.559464	0.001549
   2	5.0000e-04	0.2598	-5.091767	0.000052	16.512664	0.559464	0.001549
   3	1.0000e-03	0.2749	-4.801115	0.000061	19.464203	0.659465	0.001826
   4	1.5000e-03	0.2939	-4.459242	0.000072	22.894370	0.775682	0.002148
   5	2.0000e-03	0.3072	-4.032794	0.000090	28.558133	0.967576	0.002679
   6	2.5000e-03	0.3201	-3.531300	0.000106	33.583727	1.137847	0.003151
   7	3.0000e-03	0.3362	-2.835642	0.000146	46.586452	1.578392	0.004371
   8	3.5000e-03	0.3511	-2.038732	0.000168	53.367015	1.808123	0.005007
   9	4.0000e-03	0.3651	-1.073863	0.000203	64.614771	2.189208	0.006062
  10	4.5000e-03	0.3795	0.000596	0.000226	71.953733	2.437858	0.006751
  11	5.0000e-03	0.3940	0.954743	0.000201	63.896829	2.164883	0.005995
  12	5.5000e-03	0.4142	2.548563	0.000335	106.734029	3.616247	0.010014
  13	6.0000e-03	0.4276	3.527726	0.000206	65.572027	2.221640	0.006152
  14	6.5000e-03	0.4420	4.762997	0.000260	82.722861	2.802726	0.007761
  15	7.0000e-03	0.4553	5.913692	0.000242	77.059097	2.610833	0.007230
  16	7.5000e-03	0.4704	6.852354	0.000197	62.859802	2.129748	0.005898
  17	8.0000e-03	0.4863	7.989946	0.000239	76.181613	2.581103	0.007147
  18	8.5000e-03	0.5010	8.876196	0.000186	59.349864	2.010828	0.005568
  19	9.0000e-03	0.5176	9.849403	0.000205	65.173170	2.208127	0.006115
  20	9.5000e-03	0.5276	10.634401	0.000165	52.569301	1.781096	0.004932
  21	1.0000e-02	0.5457	11.397957	0.000161	51.133418	1.732447	0.004797
  22	1.0500e-02	0.5598	12.087660	0.000145	46.187596	1.564878	0.004333
  23	1.1000e-02	0.5760	12.653478	0.000119	37.891378	1.283795	0.003555
  24	1.1500e-02	0.5878	13.184751	0.000112	35.578010	1.205416	0.003338
  25	1.2000e-02	0.6042	13.721980	0.000113	35.976866	1.218929	0.003375
  26	1.2500e-02	0.6214	14.243724	0.000110	34.939839	1.183794	0.003278
  27	1.3000e-02	0.6341	14.437889	0.000041	13.002726	0.440544	0.001220
  28	1.3500e-02	0.6504	14.985839	0.000115	36.694808	1.243254	0.003443
  29	1.4000e-02	0.6660	15.394419	0.000086	27.361564	0.927035	0.002567
  30	1.4500e-02	0.6803	15.626703	0.000049	15.555408	0.527031	0.001459
  31	1.5000e-02	0.6936	15.991209	0.000077	24.410025	0.827034	0.002290
  32	1.5500e-02	0.7132	16.210389	0.000046	14.677923	0.497302	0.001377
  33	1.6000e-02	0.7244	16.492702	0.000059	18.905803	0.640546	0.001774
  34	1.6500e-02	0.7372	16.751191	0.000054	17.310377	0.586491	0.001624
  35	1.7000e-02	0.7549	16.988239	0.000050	15.874493	0.537842	0.001489
  36	1.7500e-02	0.7709	17.257450	0.000057	18.028319	0.610816	0.001691
  37	1.8000e-02	0.7870	17.461144	0.000043	13.640896	0.462166	0.001280
  38	1.8500e-02	0.7999	17.664839	0.000043	13.640896	0.462166	0.001280
  39	1.9000e-02	0.8163	17.913799	0.000052	16.672206	0.564870	0.001564
  40	1.9500e-02	0.8323	18.102008	0.000040	12.603869	0.427031	0.001183
  41	2.0000e-02	0.8450	18.343820	0.000051	16.193578	0.548653	0.001519
  42	2.0500e-02	0.8614	18.578486	0.000049	15.714951	0.532437	0.001474
  43	2.1000e-02	0.8784	18.847696	0.000057	18.028319	0.610816	0.001691
  44	2.1500e-02	0.8894	18.879858	0.000007	2.153826	0.072974	0.000202
  45	2.2000e-02	0.9045	19.071641	0.000040	12.843183	0.435139	0.001205
  46	2.2500e-02	0.9171	19.218158	0.000031	9.811873	0.332435	0.000921
  47	2.3000e-02	0.9344	19.442103	0.000047	14.997009	0.508112	0.001407
  48	2.3500e-02	0.9488	19.563605	0.000026	8.136675	0.275678	0.000763
  49	2.4000e-02	0.9637	19.761343	0.000042	13.242040	0.448652	0.001242
  50	2.4500e-02	0.9844	19.930493	0.000036	11.327528	0.383787	0.001063
  51	2.5000e-02	0.9937	20.110364	0.000038	12.045470	0.408112	0.001130
  52	2.5500e-02	0.9861	20.028171	0.000017	5.504221	0.186488	-0.000516
  53	2.6000e-02	0.9682	19.935258	0.000020	6.222163	0.210813	-0.000584
