# XRR example data — SrTiO3 thin film on Si substrate
# 2Theta  Intensity
0.000   2831456
0.050   2724891
0.100   2618042
0.150   2435716
0.200   2078234
0.250   1621543
0.300   1187432
0.350   856234
0.400   1245678
0.450   1834512
0.500   2145678
0.550   1978234
0.600   1512345
0.650   1023456
0.700   712345
0.750   587234
0.800   689012
0.850   823456
0.900   756234
0.950   612345
1.000   489012
1.050   378234
1.100   289012
1.150   223456
1.200   278901
1.250   323456
1.300   289012
1.350   234567
1.400   178901
1.450   134567
1.500   112345
1.550   123456
1.600   134567
1.650   112345
1.700   89012
1.750   67890
1.800   56789
1.850   67890
1.900   78901
1.950   67890
2.000   56789
2.100   45678
2.200   38901
2.300   34567
2.400   31234
2.500   28901
2.600   25678
2.700   23456
2.800   21234
2.900   19012
3.000   17234
3.200   14567
3.400   12345
3.600   10234
3.800   8901
4.000   7678
4.200   6567
4.400   5678
4.600   4901
4.800   4234
5.000   3678
